name	entity	label	dataType	idAttribute	nillable
value	Biomarker_Subtype_anthropometric	Value (English)	String	TRUE	FALSE
description	Biomarker_Subtype_anthropometric	Description (English)	Text	FALSE	TRUE
codesystem	Biomarker_Subtype_anthropometric	The code system (e.g. ontology) this term belongs to	String	FALSE	TRUE
code	Biomarker_Subtype_anthropometric	The code within the code system	String	FALSE	TRUE
iri	Biomarker_Subtype_anthropometric	The Internationalized Resource Identifier for this term	String	FALSE	TRUE
